Thread ID: 2148446640
Total: 0.029698

 %self     total     self     wait    child    calls  name
  0.12      0.00     0.00     0.00     0.00        2  ActiveSupport::MessageVerifier#generate_digest
  0.12      0.00     0.00     0.00     0.00        3  <Class::ActionController::Base>#view_paths
  0.12      0.00     0.00     0.00     0.00       13  Class#superclass
  0.12      0.00     0.00     0.00     0.00        2  <Class::Authlogic::Session::Base>#persist_callback_chain
  0.12      0.00     0.00     0.00     0.00        1  Authlogic::Session::Session::InstanceMethods#session_credentials
  0.12      0.00     0.00     0.00     0.00        8  ActionController::Session::AbstractStore::SessionHash#loaded?
  0.11      0.00     0.00     0.00     0.00        3  ActionController::Session::CookieStore#requires_session_id?
  0.11      0.00     0.00     0.00     0.00        8  Enumerable#all?
  0.11      0.00     0.00     0.00     0.00        3  ActionController::Request#raw_host_with_port
  0.11      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.11      0.00     0.00     0.00     0.00        3  MonitorMixin#mon_check_owner
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.11      0.00     0.00     0.00     0.00        1  Authlogic::Session::Cookies::InstanceMethods#credentials=
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.11      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#secure_compare
  0.11      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.10      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.10      0.00     0.00     0.00     0.00        4  ActionController::StringCoercion::UglyBody#method_missing
  0.10      0.00     0.00     0.00     0.00        4  ActionController::Request#protocol
  0.10      0.00     0.00     0.00     0.00        8  Module#name
  0.10      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
  0.10      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.10      0.00     0.00     0.00     0.00       12  Kernel#nil?
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Filters::Filter#should_not_skip?
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.10      0.00     0.00     0.00     0.00        1  <Module::Marshal>#load
  0.10      0.00     0.00     0.00     0.00        1  Authlogic::Session::Validation#ensure_authentication_attempted
  0.10      0.00     0.00     0.00     0.00        3  <Module::I18n>#normalize_key
  0.10      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.10      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::String::Inflections#underscore
  0.10      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.10      0.01     0.00     0.00     0.01        1  ActionController::Flash::InstanceMethods#perform_action
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Session::CookieStore#inject_persistent_session_id
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Session::CookieStore#persistent_session_id!
  0.10      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Slice#slice
  0.10      0.00     0.00     0.00     0.00       10  Thread#[]
  0.10      0.00     0.00     0.00     0.00        8  String#tr
  0.09      0.00     0.00     0.00     0.00       10  Array#empty?
  0.09      0.00     0.00     0.00     0.00        1  <Module::I18n>#normalize_keys
  0.09      0.00     0.00     0.00     0.00        1  ActionController::CookieJar#initialize
  0.09      0.00     0.00     0.00     0.00        2  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.09      0.00     0.00     0.00     0.00        7  Hash#initialize_copy
  0.09      0.00     0.00     0.00     0.00        5  Rack::Request#initialize
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#assign_default_content_type_and_charset!
  0.09      0.00     0.00     0.00     0.00        1  Authlogic::Session::UnauthorizedRecord#credentials=
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.09      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils>#parse_query
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Flash::FlashHash#use
  0.09      0.00     0.00     0.00     0.00       10  Fixnum#>=
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.09      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.09      0.00     0.00     0.00     0.00        3  <Module::I18n>#config
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.09      0.02     0.00     0.00     0.02        1  <Class::ActionController::Base>#call
  0.09      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.09      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.09      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.09      0.03     0.00     0.00     0.03        1  ActionController::Integration::Runner#get
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.08      0.00     0.00     0.00     0.00        1  Authlogic::Session::Scopes::InstanceMethods#initialize
  0.08      0.00     0.00     0.00     0.00        1  Kernel#instance_variable_names
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#redirect
  0.08      0.00     0.00     0.00     0.00        1  I18n::Backend::Simple::Implementation#lookup
  0.08      0.00     0.00     0.00     0.00        9  NilClass#nil?
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Benchmarking#active_record_runtime
  0.08      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#call_filters
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#redirect_to
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#constantize
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Request#standard_port
  0.08      0.00     0.00     0.00     0.00        3  ActionController::Session::AbstractStore::SessionHash#[]
  0.08      0.00     0.00     0.00     0.00        5  Authlogic::Session::Klass::Config#klass
  0.08      0.00     0.00     0.00     0.00        2  Array#map!
  0.08      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#escape
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#content_type=
  0.08      0.00     0.00     0.00     0.00        1  Authlogic::Session::PriorityRecord#credentials=
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.08      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::Base>#connection_handler
  0.08      0.00     0.00     0.00     0.00        1  ApplicationController#store_location
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Routing::RouteSet#call
  0.08      0.00     0.00     0.00     0.00        5  ActionController::Base#session
  0.08      0.00     0.00     0.00     0.00        5  ActionController::Base#params
  0.08      0.00     0.00     0.00     0.00        7  String#<<
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionUtils#stale_session_check!
  0.08      0.00     0.00     0.00     0.00        2  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.08      0.00     0.00     0.00     0.00        5  ActionController::Base#performed?
  0.08      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.08      0.01     0.00     0.00     0.01        1  Authlogic::Session::Persistence::ClassMethods#find
  0.08      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.08      0.00     0.00     0.00     0.00        8  Hash#key?
  0.07      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status
  0.07      0.00     0.00     0.00     0.00        2  Authlogic::Session::Password::InstanceMethods#login_field
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#generate
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.07      0.00     0.00     0.00     0.00        1  Authlogic::Session::Id#credentials=
  0.07      0.00     0.00     0.00     0.00        8  Hash#regular_writer
  0.07      0.00     0.00     0.00     0.00        5  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00        1  I18n::Backend::Base#resolve
  0.07      0.00     0.00     0.00     0.00        4  Authlogic::Session::Id#id
  0.07      0.00     0.00     0.00     0.00        2  Authlogic::Session::Session::InstanceMethods#session_key
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.07      0.00     0.00     0.00     0.00        8  Array#<<
  0.07      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_release
  0.07      0.00     0.00     0.00     0.00        1  I18n::Backend::Base#default
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.07      0.02     0.00     0.00     0.02        1  Rack::Lock#call
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_input
  0.07      0.00     0.00     0.00     0.00        2  <Class::Rack::Utils::HeaderHash>#new
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.07      0.00     0.00     0.00     0.00        2  Array#map
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#halt_filter_chain
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#extract_session_id
  0.07      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.07      0.00     0.00     0.00     0.00        2  Array#-
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Request#parameters
  0.07      0.02     0.00     0.00     0.02        1  Rack::Head#call
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#unescape
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#load!
  0.07      0.00     0.00     0.00     0.00        1  Time#strftime
  0.07      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#include?
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        4  Array#+
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#complete_request_uri
  0.07      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache#call
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Flash::FlashHash#sweep
  0.07      0.00     0.00     0.00     0.00        3  Set#include?
  0.07      0.00     0.00     0.00     0.00        1  Rack::Response#to_a
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#flash
  0.07      0.00     0.00     0.00     0.00        1  Symbol#to_proc
  0.07      0.00     0.00     0.00     0.00        7  Kernel#block_given?
  0.07      0.00     0.00     0.00     0.00        1  Kernel#lambda
  0.07      0.00     0.00     0.00     0.00        7  Hash#empty?
  0.07      0.00     0.00     0.00     0.00        2  ActionController::Session::CookieStore#unpacked_cookie_data
  0.07      0.00     0.00     0.00     0.00        3  <Class::Time>#now
  0.07      0.00     0.00     0.00     0.00        2  ActionController::Request#host
  0.07      0.00     0.00     0.00     0.00        4  String#sub!
  0.06      0.00     0.00     0.00     0.00       10  <Class::Thread>#critical=
  0.06      0.00     0.00     0.00     0.00        3  Rack::Utils::HeaderHash#each
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.06      0.00     0.00     0.00     0.00        1  Authlogic::ControllerAdapters::RailsAdapter::RailsImplementation#activate_authlogic
  0.06      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#perform_action_without_benchmark
  0.06      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_acquire
  0.06      0.00     0.00     0.00     0.00        4  Kernel#String
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_cookies!
  0.06      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#retrieve_connection
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.06      0.00     0.00     0.00     0.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.06      0.00     0.00     0.00     0.00        2  Authlogic::Session::Password::InstanceMethods#password_field
  0.06      0.00     0.00     0.00     0.00        1  <Module::Authlogic::I18n>#t
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.06      0.00     0.00     0.00     0.00        4  Authlogic::Session::Foundation::InstanceMethods#build_key
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#exists?
  0.06      0.00     0.00     0.00     0.00        1  Hash#reject
  0.06      0.00     0.00     0.00     0.00        3  Authlogic::Session::Validation#errors
  0.06      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#to_hash
  0.06      0.00     0.00     0.00     0.00        4  Authlogic::Session::Scopes::InstanceMethods#scope
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#charset=
  0.06      0.00     0.00     0.00     0.00        1  Authlogic::Session::Activation::InstanceMethods#initialize
  0.06      0.00     0.00     0.00     0.00        2  Kernel#extend
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Session::AbstractStore::SessionHash#load_for_write!
  0.06      0.00     0.00     0.00     0.00        3  Enumerable#inject
  0.06      0.00     0.00     0.00     0.00        2  Authlogic::Session::Password::Config#password_field
  0.06      0.00     0.00     0.00     0.00        1  Authlogic::Session::Cookies::InstanceMethods#persist_by_cookie
  0.06      0.00     0.00     0.00     0.00        6  Kernel#instance_variable_get
  0.06      0.00     0.00     0.00     0.00        6  Hash#default=
  0.06      0.00     0.00     0.00     0.00        1  Authlogic::Session::Session::InstanceMethods#persist_by_session
  0.06      0.00     0.00     0.00     0.00        1  ActiveRecord::Error#initialize
  0.06      0.01     0.00     0.00     0.01        1  ApplicationController#current_user_session
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::HttpAuthentication::Basic#authorization
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Session::AbstractStore::SessionHash#[]=
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.06      0.00     0.00     0.00     0.00        1  Authlogic::Session::Cookies::InstanceMethods#cookie_credentials
  0.06      0.02     0.00     0.00     0.02        1  Sass::Plugin::Rack#call
  0.05      0.00     0.00     0.00     0.00        6  Fixnum#>
  0.05      0.00     0.00     0.00     0.00        2  Rack::Request#parse_query
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint#close
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.05      0.00     0.00     0.00     0.00        1  <Class::CGI>#escapeHTML_fail_on_nil
  0.05      0.00     0.00     0.00     0.00        3  Mime::Type#to_s
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#prepare!
  0.05      0.00     0.00     0.00     0.00        1  Authlogic::Session::Params::InstanceMethods#params_credentials
  0.05      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.05      0.00     0.00     0.00     0.00        2  Rack::Request#request_method
  0.05      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#has_key?
  0.05      0.00     0.00     0.00     0.00        2  Hash#merge
  0.05      0.00     0.00     0.00     0.00        6  Symbol#to_sym
  0.05      0.00     0.00     0.00     0.00        1  Array#inspect
  0.05      0.02     0.00     0.00     0.02        1  ActionController::StringCoercion#call
  0.05      0.00     0.00     0.00     0.00        1  Module#append_features
  0.05      0.00     0.00     0.00     0.00        1  Authlogic::Session::Password::InstanceMethods#initialize
  0.05      0.02     0.00     0.00     0.02        1  ActionController::ParamsParser#call
  0.05      0.02     0.00     0.00     0.02        1  Rack::MethodOverride#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_content_type!
  0.05      0.00     0.00     0.00     0.00        4  Hash#merge!
  0.05      0.00     0.00     0.00     0.00        6  Array#first
  0.05      0.00     0.00     0.00     0.00        2  OpenSSL::Digest#initialize
